"sm","md","lg"
"3-10-A-2","3-11-D","1-3-D"
"3-1-E-1","2-8-C","2-8-E"
"3-3-B-2","1-7-E","1-2-D"
"3-2-C","1-4-D","3-3-A"
"1-5-A-2","3-12-G","3-1-C"
"1-8-D","1-10-E","1-7-C"
"3-2-H","3-6-D","3-5-H"
"3-5-B","3-3-B-1","2-1-C"
"3-4-E","3-4-A","3-4-B"
"3-3-H","1-6-D","2-5-E"
"3-9-C","1-8-B","2-6-E"
"3-7-D","3-8-B","1-2-B"
"3-2-F","1-5-C","1-7-B"
"3-9-D-1","1-3-C","1-8-E"
"3-4-F","3-1-H","3-1-A"
"3-11-C","1-1-D","2-2-C"
"3-12-F","3-8-H","1-9-E"
"3-9-D-2","1-1-C","2-2-D"
"3-11-B","2-8-A","2-4-E-1"
"3-10-E","3-10-F","3-7-B"
"3-11-A","1-9-C","3-5-A"
"3-5-F","2-2-A","1-5-A-1"
"1-8-C","1-1-E","1-5-D"
"2-3-C","3-4-H","2-5-B"
"3-10-A-1","3-1-F","1-1-B"
"3-5-C","3-6-H","2-1-E"
"3-11-E","3-2-G","2-4-A"
"3-9-B","1-3-E","2-5-C"
"3-4-C","3-6-E","2-7-C"
"3-9-H","1-7-D","3-8-C"
"3-2-B","2-7-B","2-3-B"
"3-11-H","2-4-B","2-5-A"
"3-3-E","2-1-D","1-3-A"
"3-9-G","1-4-A","1-8-A"
"1-9-B","3-1-G","2-4-C"
"3-8-G","1-6-A","2-1-B"
"3-4-G","3-9-F","1-4-E"
"3-8-D","1-6-B","1-1-A"
"3-7-F","3-4-D","2-3-E"
"3-1-E-2","1-2-A","1-6-C"
"3-12-D","2-5-D-2","2-5-D-1"
"3-9-E","3-1-D","1-2-E"
"3-3-G","2-7-A","2-3-D"
"3-5-G","3-6-A","1-3-B"
"3-3-F","1-4-B","3-10-H"
"3-7-G","3-12-A","2-6-D-1"
"3-8-F","1-5-E","1-10-D"
"3-2-A","2-4-D","1-2-C"
"3-8-A","3-7-H","1-7-A"
"2-1-A","3-6-B","2-3-A"
"3-10-B","3-10-D","1-4-C"
"3-2-E","1-5-B","2-2-E"
